,intercept,perturbation_Tgfbr2 KO_vs_NT,perturbation_Ifngr1 KO_vs_NT
0610005C13Rik,-0.18319894188646693,0.024608013454889662,0.3736470862707885
0610006L08Rik,-1.692621860970593,0.03174555560701657,0.942245181576654
0610009B22Rik,4.734094678610637,0.13543929768565297,-0.01846980854304752
0610009E02Rik,0.7514499448802935,-0.15530825761078615,-0.5547083984446032
0610009L18Rik,4.030642192590804,0.25272069504487044,0.1311359500557327
0610010F05Rik,4.207937614951091,-0.07325193178786862,-0.004864574548049029
0610010K14Rik,6.87504896807108,-0.014069513759018687,-0.07859463462477406
0610012D04Rik,-0.7047588669743309,0.02819451931594026,0.4438799311608247
0610012G03Rik,6.287043434516332,0.08254920076685644,0.1637170899543783
0610030E20Rik,5.651611719686381,0.10238218432121692,0.06735627578910612
0610031O16Rik,-1.0487172336893174,0.415733625204158,0.29834539826737255
0610038B21Rik,2.738962560561386,0.26157919725787676,0.33441441822267837
0610039K10Rik,0.2988373760849552,0.8544811095326031,1.1043239226631605
0610040B10Rik,3.165600390748024,0.38013028379785135,0.3064695703486357
0610040F04Rik,1.952429795779943,0.7505122704408506,0.24842254080684736
0610040J01Rik,-0.9599154332372312,-0.1957134223234079,1.1451063103948234
0610043K17Rik,2.291473559515544,-0.2789963062597356,-0.5299336263358697
1010001B22Rik,1.3032040444984203,0.19154968559511346,-0.19404641665549482
1010001N08Rik,-1.8592876109789953,0.19841038895883542,1.1089100149284727
1110002J07Rik,2.2109731372084016,-0.11278416039657935,0.07386316844803358
1110002L01Rik,4.381362747352758,0.05790383227655002,0.16824593050597436
1110004F10Rik,6.908064704251681,0.04352853493756036,-0.031191233035896663
1110006O24Rik,3.1600601508357054,0.3522890719039666,0.3401073774282362
1110008P14Rik,6.971387265128624,0.12527609879478277,0.01976432050535558
1110012L19Rik,5.207863886486874,0.18727030199085376,0.06758974666203736
1110013H19Rik,-0.7483269372009238,0.21999652197589123,0.518320133991623
1110017D15Rik,-0.89912003231793,0.2436804906356483,1.7514083221953236
1110019B22Rik,-1.692620922376695,0.5437077408753556,0.9422442429879185
1110019D14Rik,3.1777572017893814,0.1271306177570571,-0.1180269113369197
1110020A21Rik,2.650027803054063,0.24916219220873115,0.04250976045291797
1110028F11Rik,-0.40315840407097053,0.1738957716996417,0.6616838249315565
1110032A03Rik,4.402440468162049,-0.042450159563216086,-0.07608189683986322
1110032F04Rik,4.079937454780277,-1.7649029939183736,0.5509967074638057
1110035H17Rik,2.5635216608569844,0.04399686838641594,-0.04605179123458015
1110038B12Rik,6.31713614578982,-0.199606015556109,-0.06396432635802045
1110038F14Rik,6.154313435661899,0.10871179219246604,-0.06557075010956899
1110046J04Rik,1.4046007189976037,-0.41879646992137165,-0.5787969495468154
1110051M20Rik,4.662127328620401,-0.36008531740288896,-0.10412199466530245
1110059E24Rik,5.853526506318374,-0.05930034166683604,0.11106150307088836
1110059G10Rik,5.559595677643527,0.02596636200492762,-0.07902680545196666
1110065P20Rik,5.185525324623759,-0.09935505845099138,-0.007894493751698988
1190001M18Rik,-0.6464348594876472,-0.5189781840180775,0.9997330709702344
1190005I06Rik,2.574709553660163,-0.26911074217014586,0.1382358582157761
1190007I07Rik,5.55471844859558,-0.3788524217212262,-0.014557166712365368
1200007C13Rik,-0.532740656627698,-0.24204649478497525,-0.21763066827731503
1300002E11Rik,5.463140398700978,0.09573198599004198,0.037614984836651426
1300014J16Rik,1.7673329076783897,-0.09754952911251719,0.29846278820272026
1300017J02Rik,2.0138722066705865,0.1831880100203977,0.24335530600786792
1500002C15Rik,1.718386456349834,-0.660098268353925,-0.2264910188915995
1500002F19Rik,-0.7124707101926786,0.024791854332850315,1.0171523631289245
1500004A13Rik,5.260216072987553,0.10934261207860098,-0.25676339260991277
1500009L16Rik,6.146224214365644,0.12931298499320293,0.04289552129530632
1500011B03Rik,6.503342816272649,0.1147042690402808,-0.12341689534501168
1500012K07Rik,-1.5158653031693015,-0.1450100300385541,0.7654895959310835
1500015A07Rik,3.8120546756782976,0.057931855979886565,0.2046446986629746
1500015L24Rik,-0.4131054760587994,0.5856821956176469,0.17689519890814642
1500026H17Rik,1.7690333025210776,0.5181315997556089,0.14849603011994048
1500032F14Rik,-1.8592876109789953,0.19841038895883542,1.1089100149284727
1500035N22Rik,-1.0653626141136379,-0.02596417490811106,0.3149906572851016
1520401A03Rik,-0.509618289356127,-0.6192170455609068,0.8925594438981942
1600002D24Rik,0.5711779193733655,-0.7059500365456144,-0.8154637162366598
1600002K03Rik,5.37051155794682,-0.05083217814733823,0.006169337349140123
1600010M07Rik,3.897139250638595,-0.14319766723737942,-0.158691584569992
1600012H06Rik,5.091760904112352,0.1602779432173661,0.2125546282447239
1600014C10Rik,6.651145911170869,-0.4035027149252225,0.2471899662109632
1600020E01Rik,5.370846524817509,-0.10709242659818431,0.1924428619177864
1700001C19Rik,0.013820477486742037,-0.10091322503401357,0.6645036860158711
1700001D01Rik,-0.8162346119366386,-0.8446399124117284,0.06586298962684595
1700001G11Rik,2.4800358572006664,0.08962334940292997,-0.07427078863701654
1700001J03Rik,-1.692620922376695,0.5437077408753556,0.9422442429879185
1700001K19Rik,-1.3135656379953196,-0.3473095255485458,1.0448112026982062
1700001K23Rik,0.42812793776012714,0.30116170684661564,-0.23328562436482406
1700001L05Rik,1.2887298805049487,-0.3789789040153753,-0.756007727797552
1700001O22Rik,3.1844112548784778,1.0169847561831433,-1.3243626771202008
1700001P01Rik,-1.1804386716065036,-0.4804370032835664,1.3669366231827589
1700003C15Rik,-2.025950061981279,0.3650719233226807,3.075039329247476
1700003D09Rik,-0.38656982696875936,-0.3957873385690542,-0.3638013703907608
1700003E16Rik,-1.8592876109789953,0.19841038895883542,1.1089100149284727
1700003F12Rik,-0.9931697540361623,-0.17185458710613843,0.24279775317607122
1700003G18Rik,-0.6032293488507308,-0.5620912372323831,0.3713179566122585
1700003I16Rik,0.04846376886197459,0.7500861973314599,0.14688134205206338
1700003L19Rik,-2.0259524514425378,0.8611924200421668,1.2755739387404348
1700003M07Rik,-1.8592876109789953,0.19841038895883542,1.1089100149284727
1700006J14Rik,-1.8592867014340304,0.6945276441186226,1.1089091053885105
1700007J10Rik,0.05651551661157793,-0.8225100211148243,0.13698120851179538
1700007K13Rik,-1.0945130383380774,-0.5663600001568347,0.3441396623250153
1700007L15Rik,4.133654479610787,0.03018517383795491,-0.006931218611229817
1700008B11Rik,-1.8592876109789953,0.19841038895883542,1.1089100149284727
1700008J07Rik,3.1753592712363803,-0.09126744195380296,0.24310851181472692
1700008O03Rik,0.933233791416956,0.3197330680324069,0.4412069393879003
1700010B13Rik,-1.3510636283326756,-0.3098115225483903,0.6006902314046448
